City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Kulhudhuffushi,6.62,73.07,84.15,79,100,18.95,MV,2020-05-11 04:14:59,moderate rain,0.0,0.0
1,Campbellsville,37.34,-85.34,46.4,61,1,4.7,US,2020-05-11 04:15:00,clear sky,0.0,0.0
2,Qaanaaq,77.48,-69.36,6.89,76,0,6.04,GL,2020-05-11 04:13:48,clear sky,0.0,0.0
3,Porto Novo,6.5,2.6,77.0,88,40,2.24,BJ,2020-05-11 04:15:01,scattered clouds,0.0,0.0
4,Port Alfred,-33.59,26.89,62.01,75,0,1.01,ZA,2020-05-11 04:15:02,clear sky,0.0,0.0
5,Ushuaia,-54.8,-68.3,42.8,81,40,10.29,AR,2020-05-11 04:13:04,scattered clouds,0.0,0.0
6,Georgetown,5.41,100.34,87.8,79,20,4.7,MY,2020-05-11 04:01:11,few clouds,0.0,0.0
7,Cape Town,-33.93,18.42,62.01,100,0,8.05,ZA,2020-05-11 04:05:27,clear sky,0.0,0.0
8,Ponta Do Sol,32.67,-17.1,64.4,72,40,5.82,PT,2020-05-11 04:05:29,scattered clouds,0.0,0.0
9,Rincon,32.3,-81.24,60.8,82,1,4.32,US,2020-05-11 04:14:14,clear sky,0.0,0.0
10,Port Elizabeth,-33.92,25.57,57.2,100,75,10.29,ZA,2020-05-11 04:02:49,broken clouds,0.0,0.0
11,Saint-Philippe,-21.36,55.77,71.6,60,75,6.93,RE,2020-05-11 04:14:44,broken clouds,0.0,0.0
12,Ribeira Grande,38.52,-28.7,57.81,71,7,18.16,PT,2020-05-11 04:15:04,clear sky,0.0,0.0
13,Sao Filipe,14.9,-24.5,72.91,74,4,7.07,CV,2020-05-11 04:13:23,clear sky,0.0,0.0
14,Abha,18.22,42.51,66.2,77,1,5.01,SA,2020-05-11 04:13:08,clear sky,0.0,0.0
15,Arys,42.43,68.8,73.4,43,15,4.47,KZ,2020-05-11 04:15:04,few clouds,0.0,0.0
16,Igarka,67.47,86.58,36.59,93,82,12.1,RU,2020-05-11 04:15:05,broken clouds,0.0,0.0
17,Vila Do Maio,15.13,-23.22,71.6,73,40,21.92,CV,2020-05-11 04:15:05,scattered clouds,0.0,0.0
18,Chuy,-33.7,-53.46,64.99,79,32,7.65,UY,2020-05-11 04:15:05,light rain,0.0,0.0
19,Goundam,16.41,-3.67,87.35,34,48,7.92,ML,2020-05-11 04:15:05,scattered clouds,0.0,0.0
20,Pangnirtung,66.15,-65.71,22.48,91,100,12.68,CA,2020-05-11 04:15:05,light snow,0.0,0.0
21,Touros,-5.2,-35.46,75.2,100,40,4.7,BR,2020-05-11 04:15:06,scattered clouds,0.0,0.0
22,Mahebourg,-20.41,57.7,73.4,56,75,11.41,MU,2020-05-11 04:15:06,broken clouds,0.0,0.0
23,Jamestown,42.1,-79.24,46.4,65,90,12.75,US,2020-05-11 04:13:41,overcast clouds,0.0,0.0
