City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Kulhudhuffushi,MV,84.15,moderate rain,6.62,73.07,Haajy Guest House 1
3,Porto Novo,BJ,77.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
6,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
11,Saint-Philippe,RE,71.6,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
13,Sao Filipe,CV,72.91,clear sky,14.9,-24.5,Tortuga B&B
15,Arys,KZ,73.4,few clouds,42.43,68.8,"Gostinitsa ""Madani"""
17,Vila Do Maio,CV,71.6,scattered clouds,15.13,-23.22,Residence 'I Delfini'
19,Goundam,ML,87.35,scattered clouds,16.41,-3.67,
21,Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
22,Mahebourg,MU,73.4,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
29,Kalmunai,LK,86.97,overcast clouds,7.42,81.82,VS Villa
32,Sao Gabriel Da Cachoeira,BR,73.13,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
33,Mahibadhoo,MV,84.76,overcast clouds,3.78,72.97,Omadhoo Inn
41,Santa Cruz,BO,71.6,scattered clouds,-17.8,-63.17,Hotel Cortez
44,Kumba,CM,72.45,overcast clouds,4.64,9.45,El Bethel Hotel
45,Kelamangalam,IN,87.01,few clouds,12.6,77.85,DHARMA
50,Taoudenni,ML,88.88,overcast clouds,22.68,-3.98,
51,Colon,PA,82.4,light rain,9.36,-79.9,Sand Diamond Hotel
52,Atar,MR,79.11,few clouds,20.52,-13.05,Oumou Elghoura
54,Marsh Harbour,BS,73.27,light rain,26.54,-77.06,Abaco Beach Resort
55,Paracuru,BR,78.01,light rain,-3.41,-39.03,Hotel VentoBrasil
57,Hambantota,LK,84.2,broken clouds,6.12,81.12,Bungalow 63
59,Kerouane,GN,72.19,overcast clouds,9.27,-9.02,
60,Arraial Do Cabo,BR,71.33,clear sky,-22.97,-42.03,Pousada Porto Praia
64,Kathu,TH,78.8,light rain,7.92,98.33,Novotel Phuket Resort
65,Chirongui,YT,82.4,few clouds,-12.93,45.15,La Villa Mahatsara
70,Saint-Georges,GD,80.6,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
74,Meulaboh,ID,85.39,light rain,4.14,96.13,Kost Pria
80,Adrar,MR,81.55,clear sky,20.5,-10.07,
