City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.93,18.42,63.0,93,33,6.93,ZA,2020-05-08 04:23:39
1,Touros,-5.2,-35.46,73.4,100,20,4.7,BR,2020-05-08 04:25:58
2,Codrington,-38.27,141.97,62.13,63,33,13.13,AU,2020-05-08 04:25:00
3,Itarema,-2.92,-39.92,76.33,89,1,5.95,BR,2020-05-08 04:30:04
4,Ponta Do Sol,32.67,-17.1,60.8,77,20,3.36,PT,2020-05-08 04:25:18
5,Brae,60.4,-1.35,44.6,87,94,6.93,GB,2020-05-08 04:25:56
6,Bam,29.11,58.36,81.93,15,0,14.0,IR,2020-05-08 04:30:04
7,Torbay,47.67,-52.73,34.0,99,90,28.86,CA,2020-05-08 04:25:01
8,Warrington,53.39,-2.58,52.0,87,98,2.24,GB,2020-05-08 04:29:57
9,Baglung,28.27,83.59,78.67,26,0,4.88,NP,2020-05-08 04:30:05
10,Jamestown,42.1,-79.24,41.0,52,75,9.17,US,2020-05-08 04:25:01
11,Tsaratanana,-16.78,47.65,76.08,64,4,7.09,MG,2020-05-08 04:30:05
12,Zhanaozen,43.3,52.8,59.41,83,98,5.5,KZ,2020-05-08 04:25:48
13,Bikaner,28.02,73.3,101.95,16,0,9.04,IN,2020-05-08 04:30:06
14,Kedrovyy,56.17,91.82,48.2,56,40,11.18,RU,2020-05-08 04:30:06
15,Magadi,12.97,77.23,87.01,65,40,6.93,IN,2020-05-08 04:30:06
16,Abha,18.22,42.51,68.0,77,23,3.42,SA,2020-05-08 04:25:26
17,Havoysund,71.0,24.66,37.4,74,75,13.87,NO,2020-05-08 04:30:07
18,Hithadhoo,-0.6,73.08,84.67,79,89,14.54,MV,2020-05-08 04:25:12
19,Riachao Do Dantas,-11.07,-37.73,72.43,97,100,0.63,BR,2020-05-08 04:30:07
20,Sao Luis Do Quitunde,-9.32,-35.56,73.4,94,100,2.24,BR,2020-05-08 04:30:07
21,Soyo,-6.13,12.37,78.6,91,65,4.0,AO,2020-05-08 04:26:07
22,Hun,29.13,15.95,63.64,80,1,7.99,LY,2020-05-08 04:30:08
23,Lovozero,68.0,35.01,35.91,93,89,4.94,RU,2020-05-08 04:30:08
24,Bure,10.7,37.07,67.24,62,92,4.05,ET,2020-05-08 04:30:08
25,Kabinda,-6.13,24.48,68.56,91,57,4.12,CD,2020-05-08 04:30:08
26,Tutoia,-2.76,-42.27,77.27,88,2,3.29,BR,2020-05-08 04:25:15
27,Arraial Do Cabo,-22.97,-42.03,70.18,72,68,11.48,BR,2020-05-08 04:25:03
28,Port Elizabeth,-33.92,25.57,60.8,87,100,16.11,ZA,2020-05-08 04:25:41
29,Kouango,4.99,19.96,72.52,97,100,2.77,CF,2020-05-08 04:30:09
30,Dikson,73.51,80.55,24.58,98,100,25.66,RU,2020-05-08 04:25:11
31,Margate,51.38,1.39,55.0,60,83,1.01,GB,2020-05-08 04:26:46
32,Punta Arenas,-53.15,-70.92,37.4,100,90,6.35,CL,2020-05-08 04:25:27
33,Upernavik,72.79,-56.15,16.09,92,16,6.04,GL,2020-05-08 04:25:14
34,East London,-33.02,27.91,60.8,87,88,5.82,ZA,2020-05-08 04:25:12
35,Qaanaaq,77.48,-69.36,13.06,92,100,3.42,GL,2020-05-08 04:25:33
36,Manaure,11.78,-72.44,80.11,83,98,8.55,CO,2020-05-08 04:30:10
37,Hukuntsi,-24.0,21.75,56.32,55,0,8.97,BW,2020-05-08 04:28:36
38,Bandarbeyla,9.49,50.81,82.98,70,3,3.96,SO,2020-05-08 04:25:13
39,Albany,42.6,-73.97,46.0,65,73,11.25,US,2020-05-08 04:22:47
40,Ushuaia,-54.8,-68.3,46.4,75,90,10.29,AR,2020-05-08 04:25:05
41,Doesburg,52.01,6.14,46.0,86,90,3.36,NL,2020-05-08 04:30:11
42,Borgarnes,64.54,-21.92,35.6,69,20,10.22,IS,2020-05-08 04:30:11
43,Bambous Virieux,-20.34,57.76,77.0,88,40,3.36,MU,2020-05-08 04:26:02
44,Luderitz,-26.65,15.16,53.6,93,53,1.12,NA,2020-05-08 04:25:29
45,Bilma,18.69,12.92,76.75,16,0,4.79,NE,2020-05-08 04:25:20
46,Sens,48.17,3.33,45.0,89,80,4.29,FR,2020-05-08 04:30:12
47,Tarut,26.57,50.04,80.6,36,42,11.41,SA,2020-05-08 04:30:12
48,Busselton,-33.65,115.33,57.99,88,99,1.01,AU,2020-05-08 04:24:31
49,Los Llanos De Aridane,28.66,-17.92,64.4,72,17,6.93,ES,2020-05-08 04:25:24
50,Vallenar,-28.57,-70.76,57.07,70,0,0.87,CL,2020-05-08 04:30:12
51,Saint-Philippe,-21.36,55.77,77.0,69,20,2.24,RE,2020-05-08 04:25:06
52,Vwawa,-9.12,32.93,60.3,92,86,5.39,TZ,2020-05-08 04:30:13
53,Hermanus,-34.42,19.23,54.0,95,28,7.87,ZA,2020-05-08 04:27:07
54,Sao Filipe,14.9,-24.5,72.7,77,31,10.67,CV,2020-05-08 04:25:30
55,Kosh-Agach,50.0,88.67,48.99,48,38,7.0,RU,2020-05-08 04:30:13
56,Santa Cruz Cabralia,-16.28,-39.02,73.4,88,90,4.7,BR,2020-05-08 04:26:51
57,Ler,8.3,30.14,81.57,62,98,2.59,SS,2020-05-08 04:30:14
58,Georgetown,5.41,100.34,89.6,75,40,4.7,MY,2020-05-08 04:21:29
59,Qaqortoq,60.72,-46.03,41.0,75,40,4.7,GL,2020-05-08 04:26:15
60,Mar Del Plata,-38.0,-57.56,51.01,87,43,10.29,AR,2020-05-08 04:20:44
61,Ribeira Grande,38.52,-28.7,61.39,71,52,22.06,PT,2020-05-08 04:25:04
62,Westerland,54.91,8.3,44.6,87,0,8.05,DE,2020-05-08 04:28:28
63,Pisco,-13.7,-76.22,66.99,82,100,6.93,PE,2020-05-08 04:25:52
64,Coquimbo,-29.95,-71.34,57.2,87,84,3.36,CL,2020-05-08 04:25:37
65,Neuquen,-38.95,-68.06,42.8,87,97,2.59,AR,2020-05-08 04:29:14
66,Colares,38.8,-9.45,62.01,87,33,8.05,PT,2020-05-08 04:28:36
67,Narsaq,60.92,-46.05,41.0,75,76,4.7,GL,2020-05-08 04:25:08
68,Malumfashi,11.79,7.62,75.52,51,36,8.28,NG,2020-05-08 04:30:16
69,Cadiz,36.5,-5.75,66.99,72,0,2.24,ES,2020-05-08 04:30:16
70,Bay Roberts,47.6,-53.26,36.0,1,100,5.01,CA,2020-05-08 04:26:39
71,Kalabo,-14.97,22.68,56.35,71,0,5.41,ZM,2020-05-08 04:30:17
72,Iskateley,67.68,53.15,33.62,99,99,7.87,RU,2020-05-08 04:30:17
73,Helsingborg,56.05,12.69,45.0,90,3,5.99,SE,2020-05-08 04:30:17
74,Amapa,1.0,-52.0,72.14,98,100,2.71,BR,2020-05-08 04:25:18
75,Port Alfred,-33.59,26.89,64.0,80,96,1.99,ZA,2020-05-08 04:25:05
76,Castro,-24.79,-50.01,44.56,92,0,5.64,BR,2020-05-08 04:25:10
77,Bredasdorp,-34.53,20.04,59.0,87,71,1.12,ZA,2020-05-08 04:25:10
78,Longyearbyen,78.22,15.64,26.6,73,20,4.7,SJ,2020-05-08 04:25:09
79,Mahebourg,-20.41,57.7,77.0,88,40,3.36,MU,2020-05-08 04:25:14
80,Kapoeta,4.77,33.59,78.33,67,95,16.22,SS,2020-05-08 04:30:18
81,Hobe Sound,27.06,-80.14,69.01,51,76,5.01,US,2020-05-08 04:30:19
82,Angoche,-16.23,39.91,73.49,81,15,10.8,MZ,2020-05-08 04:26:37
83,Belyy Yar,53.6,91.39,51.8,50,17,4.47,RU,2020-05-08 04:27:02
84,Clyde River,70.47,-68.59,3.2,77,1,4.7,CA,2020-05-08 04:27:17
85,Uruzgan,32.83,66.0,75.51,19,25,0.51,AF,2020-05-08 04:30:19
86,Santa Lucia,27.91,-15.54,66.2,68,20,11.41,ES,2020-05-08 04:30:19
87,Mwingi,-0.93,38.06,69.06,81,85,4.88,KE,2020-05-08 04:30:20
88,Cidreira,-30.18,-50.21,55.13,88,8,5.19,BR,2020-05-08 04:25:04
89,Gusau,12.16,6.66,78.31,42,6,5.03,NG,2020-05-08 04:26:20
90,Mao,39.89,4.27,62.6,88,100,12.75,ES,2020-05-08 04:26:39
91,Orvault,47.27,-1.62,59.0,72,99,5.82,FR,2020-05-08 04:30:20
92,Baijiantan,45.63,85.18,68.7,21,0,6.6,CN,2020-05-08 04:28:04
93,Sanchor,24.76,71.77,100.26,24,2,13.87,IN,2020-05-08 04:30:21
94,Kutum,14.2,24.67,66.54,24,76,4.47,SD,2020-05-08 04:25:49
95,Methoni,36.82,21.7,60.01,62,21,3.4,GR,2020-05-08 04:30:21
96,Iacu,-12.77,-40.21,71.69,93,93,2.19,BR,2020-05-08 04:30:21
97,Tirumullaivasal,11.23,79.83,93.34,51,28,8.3,IN,2020-05-08 04:30:21
98,Ancud,-41.87,-73.82,57.0,100,90,8.05,CL,2020-05-08 04:25:36
99,Berlevag,70.86,29.09,35.6,87,75,23.04,NO,2020-05-08 04:26:56
100,Olinda,-8.01,-34.86,82.4,69,40,6.93,BR,2020-05-08 04:30:22
101,Vestmannaeyjar,63.44,-20.27,41.76,67,50,13.51,IS,2020-05-08 04:25:49
